,설립일,소재지,원장,상급기관,산하기관,웹사이트,비고
한국개발연구원,1971년 3월 11일,세종특별자치시 남세종로 263,조동철,경제인문사회연구회,한국개발연구원 국제정책대학원대학교,http://www.kdi.re.kr,
국토연구원,1978년 10월 4일,세종특별자치시 국책연구원로 5,강현수,경제인문사회연구회,,http://www.krihs.re.kr/,
과학기술정책연구원,1999년 5월,세종특별자치시 시청대로 370,문미옥,경제인문사회연구회,,http://www.stepi.re.kr/,
대외경제정책연구원,1989년 12월,세종특별자치시 시청대로 370 세종국책연구단지 경제정책동,김흥종,경제인문사회연구회,,http://www.kiep.go.kr/,
산업연구원,1976년,세종특별자치시 시청대로 370 세종국책연구단지 경제정책동,장지상,경제인문사회연구회,,http://www.kiet.re.kr/,
에너지경제연구원,1986년 9월 1일,울산광역시 중구 종가로 405-11,임춘택,경제인문사회연구회,,http://www.keei.re.kr/,
정보통신정책연구원,1985년 2월 4일,충청북도 진천군 덕산읍 정통로 18,권호열,경제인문사회연구회,,http://www.kisdi.re.kr/,
통일연구원,1991년 4월 9일,서울특별시 서초구 반포대로 217,고유환,경제인문사회연구회,,http://www.kinu.or.kr/,
한국교육개발원,1972년 8월,충청북도 진천군 덕산읍 교학로 7,류방란,경제인문사회연구회,,www.kedi.re.kr/,
한국교육과정평가원,1998년 1월 1일,충청북도 진천군 덕산읍 교학로 8,,경제인문사회연구회,,http://www.kice.re.kr/,
한국교통연구원,1986년 2월,세종특별자치시 시청대로 370 세종국책연구단지 과학인프라동,오재학,경제인문사회연구회,,https://www.koti.re.kr/,
한국노동연구원,1988년 8월 25일,세종특별자치시 시청대로 370,배규식,경제인문사회연구회,,https://www.kli.re.kr/,
한국농촌경제연구원,1978년 4월 1일,전라남도 나주시 빛가람로 601,한두봉,경제인문사회연구회,,http://www.krei.re.kr/,
한국법제연구원,1990년 7월 30일,세종특별자치시 국책연구원로 15,김계홍,경제인문사회연구회,,http://www.klri.re.kr/,
한국보건사회연구원,1981년 7월 1일,"세종특별자치시 시청대로 370, 사회정책동 1~5층",이태수,경제인문사회연구회,,https://www.kihasa.re.kr/,
한국여성정책연구원,1983년 4월 21일,서울특별시 은평구 진흥로 225,,경제인문사회연구회,,https://www.kwdi.re.kr/,
한국조세재정연구원,1992년 7월 15일,세종특별자치시 시청대로 336,김재진,경제인문사회연구회,,https://www.kipf.re.kr,
한국직업능력연구원,1997년 10월 18일,세종특별자치시 시청대로 370 사회정책동(D동),류장수,경제인문사회연구회,,http://www.krivet.re.kr/,
한국청소년정책연구원,1989.07,30147 세종특별자치시 시청대로 370 세종국책연구단지 사회정책동(D동) 한국청소년정책연구원 6/7층,김현철,국무총리,,https://www.nypi.re.kr/,
한국해양수산개발원,1997년 4월 18일,부산광역시 영도구 해양로301번길 26,김종덕,경제인문사회연구회,,https://www.kmi.re.kr/,
한국행정연구원,1976년,서울특별시 은평구 진흥로 235,안성호,경제인문사회연구회,,https://www.kipa.re.kr/,
한국형사·법무정책연구원,1989년 3월 16일,서울특별시 서초구 태봉로 114,하태훈,경제인문사회연구회,,https://www.kic.re.kr/,
한국환경연구원,1997년 9월 8일,세종특별자치시 시청대로 370 세종국책연구단지 B동(과학'인프라동 8층-11층),윤제용,경제인문사회연구회,,http://www.kei.re.kr/,
한국과학기술연구원,1966년 2월 10일,서울특별시 성북구 화랑로14길 5 (하월곡동),,대한민국 과학기술정보통신부,,한국과학기술연구원 - 공식 웹사이트,
한국핵융합에너지연구원,2020년 11월 20일(2년 전)(2020-11-20),대전광역시 유성구,유석재,과학기술정보통신부,,한국핵융합에너지연구원 - 공식 웹사이트,
한국과학기술정보연구원,2001년 1월 1일,대한민국 대전광역시 유성구 대학로 245(본원) 대한민국 서울특별시 동대문구 회기로66(분원),김재수,과학기술정보통신부,,한국과학기술정보연구원 - 공식 웹사이트,
